iteration,loss
0,469.580708476
10,2011.81499261
20,2012.05682507
30,2012.05686846
40,1297.82295706
50,1297.52209483
60,1297.51722804
70,777.647689358
80,772.502805975
90,771.473479225
100,771.248910613
110,771.225390566
120,463.512397869
130,453.170141656
140,448.81537514
150,446.634657835
160,445.498316683
170,444.882890103
180,444.535316452
190,444.330363406
200,444.2044158
210,281.528181862
220,270.164430796
230,264.596986792
240,260.791244819
250,258.059593136
260,256.042050195
270,254.513249876
280,253.327099948
290,252.387519639
300,251.630451258
310,251.012388898
320,250.503030767
330,250.080596791
340,249.728886224
350,249.435428451
360,249.19033139
370,248.985576104
380,248.814546547
390,248.671739741
400,248.597649714
410,168.361533909
420,158.463989014
430,154.058919764
440,150.735473637
450,148.004600499
460,145.70861851
470,143.757822964
480,142.091671688
490,140.665973214
500,139.446207922
510,138.403765817
520,137.513978724
530,136.755214932
540,136.108475995
550,135.557179937
560,135.086974233
570,134.685537881
580,134.342357156
590,134.048511493
600,133.796450081
610,133.579803424
620,133.393200092
630,133.232111974
640,133.092728102
650,132.971835226
660,132.866720838
670,132.792441614
680,95.6195583052
690,88.2404564457
700,85.3648518888
710,83.2972014111
720,81.5373033845
730,80.0000925512
740,78.6561445294
750,77.4828515937
760,76.458994738
770,75.5650283857
780,74.7835272856
790,74.0992768924
800,73.4991318446
810,72.9717925147
820,72.5075607397
830,72.0981130216
840,71.7363002484
850,71.4159730435
860,71.131837895
870,70.8793267475
880,70.6544945465
890,70.4539277833
900,70.2746693122
910,70.1141515492
920,69.9701422304
930,69.8407019848
940,69.7241376171
950,69.6189706368
960,69.523911023
970,69.4378274337
980,69.3597302281
990,69.2887490134
1000,69.2241191071
1010,69.165168569
1020,69.1595625422
1030,53.0170059973
1040,48.0813069302
1050,46.1071458912
1060,44.9219061325
1070,44.0089018015
1080,43.232619681
1090,42.5489447434
1100,41.9384737732
1110,41.3897967591
1120,40.8947668664
1130,40.4469421282
1140,40.0409627099
1150,39.672254243
1160,39.3368539835
1170,39.0313013176
1180,38.7525536975
1190,38.4979250963
1200,38.2650377995
1210,38.0517773464
1220,37.8562614064
1230,37.6768088735
1240,37.511917863
1250,37.360239955
1260,37.2205668469
1270,37.0918112222
1280,36.9729954278
1290,36.8632370069
1300,36.7617404563
1310,36.6677877451
1320,36.5807287702
1330,36.4999754747
1340,36.4249955256
1350,36.3553054803
1360,36.290467494
1370,36.2300830525
1380,36.1737911493
1390,36.1212621287
1400,36.0721964932
1410,36.0263217498
1420,36.0045020381
1430,29.3831363652
1440,26.4980309017
1450,25.152919548
1460,24.4138333573
1470,23.9187154183
1480,23.5326171791
1490,23.2037566577
1500,22.9108484875
1510,22.6441915379
1520,22.3987285867
1530,22.1714051225
1540,21.9601146104
1550,21.7632498209
1560,21.5794994941
1570,21.4077481286
1580,21.2470205067
1590,21.0964527225
1600,20.9552689466
1610,20.8227696186
1620,20.6983184769
1630,20.5813365989
1640,20.4712953256
1650,20.3677099263
1660,20.2701352619
1670,20.178162553
1680,20.0914150314
1690,20.0095451602
1700,19.9322318341
1710,19.8591788213
1720,19.7901106105
1730,19.7247732817
1740,19.6629306326
1750,19.6043630289
1760,19.5488669549
1770,19.4962529905
1780,19.4463445786
1790,19.3989778431
1800,19.3539993974
1810,19.3112664578
1820,19.2706462819
1830,19.2320141731
